"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4799-3p",9.92489252338831,10.334755,9.35417772136147,7.7961944144837e-18,1.11687054814233e-16,28.6818836366208
"hsa-miR-6851-3p",14.1704653873313,13.0262117662338,9.34309819418406,8.41102142299615e-18,1.19821813567822e-16,28.6124448388704
"hsa-miR-489-5p",10.7690674517241,11.274129995671,9.33616448442903,8.82004528570546e-18,1.24950641547494e-16,28.5690061735755
"hsa-miR-3610",15.0158234473014,17.1153766190476,9.3241475958347,9.57625258129166e-18,1.3491405570328e-16,28.4937532735554
"hsa-miR-6892-5p",11.9812072790105,15.4439806233766,9.31897937618465,9.92096709344269e-18,1.39002560924609e-16,28.4614006993425
"hsa-miR-374a-3p",9.33247441386806,11.9755513593074,9.30919216668272,1.06078811407922e-17,1.4781473720776e-16,28.4001537868135
"hsa-miR-4655-3p",11.6850424769115,13.0316242164502,9.28965272222353,1.21236827411461e-17,1.68018429293057e-16,28.2779578158276
"hsa-miR-4786-5p",11.7425330710645,12.183016030303,9.27481533687254,1.34167222574294e-17,1.84933198683486e-16,28.1852382420743
"hsa-miR-6771-3p",10.0037784855322,12.5498971212121,9.25551635774934,1.5305478473308e-17,2.08823468060638e-16,28.0647296252839
"hsa-miR-513a-5p",14.1302828488756,14.843814982684,9.2554374330882,1.53137209911135e-17,2.08823468060638e-16,28.0642370095665
"hsa-miR-4725-5p",13.8595300062968,14.8088522554113,9.2515556964568,1.57245979029923e-17,2.13285769428885e-16,28.0400109357767
"hsa-miR-1914-5p",13.4858215042729,15.2324023463203,9.24680640516947,1.6242222389846e-17,2.19141095736018e-16,28.0103761600303
"hsa-miR-544a",9.36912532713643,11.0482732077922,9.24172860118211,1.68143785562278e-17,2.25666659570425e-16,27.9786985189875
"hsa-miR-5689",9.57126913050975,9.43835445887446,9.2364834196101,1.74264131358752e-17,2.32656301028701e-16,27.9459843058149
"hsa-miR-378f",11.6128005626687,14.1784869437229,9.23241540565529,1.7916278150188e-17,2.37950569182184e-16,27.9206174192984
"hsa-miR-181d-3p",13.2850532828336,15.4234863593074,9.19573982941727,2.29979244670824e-17,3.03858587518447e-16,27.6921308894946
"hsa-miR-5010-5p",24.120983862069,15.2129528528139,9.19150184905913,2.36704816695153e-17,3.11132619882804e-16,27.6657531409552
"hsa-miR-1307-5p",8.74971981604198,11.545408034632,9.18362151213666,2.49734094575685e-17,3.26575354445126e-16,27.6167184982812
"hsa-miR-4665-3p",13.581947947901,16.1124121731602,9.17477245058082,2.65215395826181e-17,3.4505064252896e-16,27.5616772052228
"hsa-miR-4634",107.955038608696,88.8662456103896,9.17289917598239,2.68612912132101e-17,3.47696916719217e-16,27.550028283838
"hsa-miR-4703-5p",9.73987433058471,10.6523307965368,9.14804820851778,3.17992114471095e-17,4.09535298940046e-16,27.3955883850395
"hsa-miR-564",24.6086635284108,19.024258974026,9.14392699567858,3.27010676581514e-17,4.19033781549177e-16,27.3699937112906
"hsa-miR-1286",10.0511187556222,13.4943113939394,9.13742806595474,3.41751092281611e-17,4.35732642659054e-16,27.3296422678444
"hsa-miR-7114-5p",71.7771076124438,51.4443074675325,9.13545254406456,3.46361208231434e-17,4.39413473129431e-16,27.3173787992832
"hsa-miR-889-5p",10.2059822137931,10.8711461774892,9.13369892221263,3.50505192126438e-17,4.42469425704167e-16,27.3064937689218
"hsa-miR-6838-3p",10.208225384033,10.6930718701299,9.1305351041237,3.58106508018397e-17,4.49838224358085e-16,27.286857663943
"hsa-miR-556-3p",7.60957180149924,10.1884278614719,9.12975905163601,3.59995892445536e-17,4.4999486555692e-16,27.2820415698228
"hsa-miR-153-5p",9.96183772428785,10.5510342640693,9.12757751792496,3.65360251019101e-17,4.54472507365224e-16,27.2685041538467
"hsa-miR-5196-3p",15.4655083793103,14.0976243160173,9.1217661200261,3.80040793693204e-17,4.70438846561976e-16,27.2324485114655
"hsa-miR-4487",13.7213519394303,13.8488638917749,9.11027524936896,4.10814094766166e-17,5.06075334132233e-16,27.1611846471603
